draft_age,draft_pick,draft_year,entry,games,played_until,player,player_id,plus_minus,point_share,points,position,team,team_id
18,14,1982,14,239,1990,Paul Lawless,lawlepa01,-30,6.1,126,LW,Hartford Whalers,BOS
,17,1981,17,,,Jiri Dudacek,,,,,RW,Buffalo Sabres,PHX
19,22,1980,22,4,1981,Joe Ward,wardjo01,-2,-0.1,0,C,Colorado Rockies,MTL
19,31,1979,31,95,1983,Paul Marshall,marshpa01,-18,0.7,33,LW,Pittsburgh Penguins,NJD
18,7,1987,7,1417,2009,Luke Richardson,richalu01,-119,45.5,201,D,Toronto Maple Leafs,BUF
18,1,1990,1,1200,2010,Owen Nolan,nolanow01,-40,91.6,885,RW,Quebec Nordiques,COL
18,3,1989,3,941,2008,Scott Thornton,thornsc01,-122,17.1,285,LW,Toronto Maple Leafs,COL
18,2,1986,2,626,1996,Jimmy Carson,carsoji01,-20,45.6,561,C,Los Angeles Kings,DET
18,5,1988,5,17,1991,Daniel Dore,doreda01,-7,-0.1,5,RW,Quebec Nordiques,DAL
18,9,1985,9,38,1993,Craig Duncanson,duncacr01,-11,-0.3,9,LW,Los Angeles Kings,TOR
18,11,1984,11,1171,2003,Sylvain Cote,cotesy01,39,86.6,435,D,Hartford Whalers,PIT
18,13,1983,13,805,1997,Dan Quinn,quinnda01,-125,46.2,685,C,Calgary Flames,DAL
18,15,1982,15,230,1993,Chris Kontos,kontoch01,-24,6.5,123,LW/C,New York Rangers,BOS
18,18,1981,18,541,1990,Gilbert Delorme,delorgi01,40,28.4,123,D,Montreal Canadiens,PHX
19,23,1980,23,656,1992,Moe Mantha,manthmo01,-120,45.6,370,D,Winnipeg Jets,MTL
19,32,1979,32,691,1991,Lindy Ruff,ruffli01,-15,24.2,300,D/LW,Buffalo Sabres,NJD
18,8,1987,8,106,1999,Jimmy Waite,waiteji01,0,8.3,1,G,Chicago Blackhawks,BUF
18,2,1990,2,982,2007,Petr Nedved,nedvepe01,-21,65.1,717,C,Vancouver Canucks,COL
18,4,1989,4,1136,2008,Stu Barnes,barnest01,-24,53.7,597,C,Winnipeg Jets,COL
18,1,1991,1,760,2007,Eric Lindros,lindrer01,215,101.6,865,C,Quebec Nordiques,COL
18,3,1986,3,89,1994,Neil Brady,bradyne01,-26,0.3,31,C,New Jersey Devils,DET
18,6,1988,6,292,2000,Scott Pearson,pearssc01,-39,3.7,98,LW,Toronto Maple Leafs,DAL
18,10,1985,10,7,1988,Dan Gratton,grattda01,1,0.0,1,C,Los Angeles Kings,TOR
18,12,1984,12,1224,2009,Gary Roberts,roberga01,229,91.9,910,LW,Calgary Flames,PIT
18,14,1983,14,646,2001,Bobby Dollas,dollabo01,37,34.3,138,D,Winnipeg Jets,DAL
18,16,1982,16,1639,2006,Dave Andreychuk,andreda01,32,124.4,1338,LW,Buffalo Sabres,BOS
,19,1981,19,,,Jan Ingman,,,,,LW,Montreal Canadiens,PHX
19,24,1980,24,598,1994,Normand Rochefort,rocheno01,84,35.4,158,D,Quebec Nordiques,MTL
20,33,1979,33,350,1988,Pat Riggin,riggipa01,0,51.3,8,G,Atlanta Flames,NJD
